FlightDate,Airline,FlightNum,Origin,Dest,CRSDepTime,DepDelayMinutes,WindSpeed,Visibility,Precipitation,Temperature
02-01-2025,AirIndia,833,DEL,BOM,1390,14,15.6,9.1,0.3,35.9
02-01-2025,AirIndia,815,BLR,HYD,1478,38,20.6,10.1,4.5,2.2
02-01-2025,Vistara,749,DEL,BOM,775,23,18.4,5.8,1.8,26.4
02-01-2025,GoFirst,399,HYD,DEL,34,6,14.2,11.8,1.4,34.3
02-01-2025,SpiceJet,494,DEL,BOM,2253,8,16.7,2.8,3.9,9
03-01-2025,GoFirst,306,BLR,BOM,1955,36,18.6,9,1,32.4
03-01-2025,Vistara,435,CCU,CCU,1585,11,3.3,4.9,9.6,9.9
03-01-2025,AirIndia,692,BOM,HYD,1021,5,5,8.4,0.5,30.7
03-01-2025,GoFirst,829,DEL,BOM,1129,42,17.2,5.5,4,-1.9
03-01-2025,GoFirst,613,BOM,DEL,1500,9,21.3,12.1,1.6,24.5
03-01-2025,AirIndia,277,HYD,BLR,702,11,10.2,13.5,6.9,25.5
03-01-2025,SpiceJet,495,CCU,BOM,1579,6,24.5,11.4,0.8,17.1
03-01-2025,AirIndia,470,CCU,HYD,161,9,5.4,3.5,5.5,25.9
03-01-2025,GoFirst,957,DEL,CCU,201,9,10.4,4.8,7.7,36.5
03-01-2025,SpiceJet,890,CCU,DEL,1981,9,9.5,13.9,9.5,28
03-01-2025,SpiceJet,757,DEL,CCU,995,9,23.3,7.1,7,38.3
03-01-2025,AirIndia,417,DEL,BLR,2317,37,7.1,14.2,1,15.2
03-01-2025,GoFirst,835,BOM,BOM,815,5,11.8,6.5,0.9,18.8
03-01-2025,Vistara,468,CCU,BOM,455,2,4.7,14.3,7.3,6.9
03-01-2025,GoFirst,483,DEL,HYD,1275,9,13,14,2.2,39.4
03-01-2025,IndiGo,161,BOM,BOM,1016,6,21.4,10.2,4.5,-2.5
03-01-2025,Vistara,905,BLR,DEL,2343,22,7.6,1.1,9.8,11.1
03-01-2025,SpiceJet,604,BOM,BLR,337,4,20.3,6.6,8.2,8.4
03-01-2025,Vistara,338,BOM,CCU,878,9,22.8,13.8,8.5,12.4
03-01-2025,SpiceJet,294,DEL,BLR,1076,8,1.8,13.4,8.6,36.3
03-01-2025,SpiceJet,777,HYD,BOM,791,10,18.9,3.6,6.2,11.6
03-01-2025,Vistara,321,HYD,CCU,2264,9,6.4,6.6,7.4,36.3
03-01-2025,SpiceJet,160,HYD,HYD,763,9,4.4,12.7,3.6,14.1
03-01-2025,SpiceJet,228,BOM,BLR,2235,2,15,9.1,10,33.5
04-01-2025,IndiGo,784,DEL,CCU,379,36,17.6,12.9,2.8,18.5
04-01-2025,GoFirst,255,CCU,CCU,492,22,9.9,12.6,5.9,9
04-01-2025,GoFirst,477,BOM,CCU,1180,22,1,13.7,2.8,15.2
04-01-2025,IndiGo,721,BOM,DEL,2062,24,22.7,2.6,1.1,14.1
04-01-2025,Vistara,880,DEL,BLR,64,21,18.3,3,5.7,6.7
04-01-2025,AirIndia,967,BLR,CCU,1367,36,6.8,2.2,3.5,8
04-01-2025,AirIndia,889,BOM,BLR,1152,10,12.4,14.1,5.8,3.4
04-01-2025,AirIndia,685,BLR,CCU,2027,10,0.7,7.7,5.6,10.1
04-01-2025,IndiGo,536,BLR,HYD,1495,27,8.5,1.9,5.4,23.1
04-01-2025,IndiGo,306,HYD,HYD,1162,8,13.1,5.5,1.2,12.4
04-01-2025,SpiceJet,487,DEL,HYD,1522,5,12.9,5.9,4.4,27.1
04-01-2025,AirIndia,579,BLR,BOM,391,8,5.2,12.3,8.1,39.4
04-01-2025,Vistara,890,DEL,CCU,1698,8,19.4,11.3,3.2,12
04-01-2025,Vistara,986,HYD,BOM,418,8,7.5,10.7,4.4,15.8
04-01-2025,AirIndia,937,DEL,BLR,2336,14,14.5,1.3,4.9,2.4
04-01-2025,AirIndia,439,BOM,BOM,378,2,6.8,13.7,8.6,12.6
04-01-2025,AirIndia,968,BLR,BLR,1796,22,10.6,4,6.6,27.7
04-01-2025,IndiGo,439,DEL,BLR,2278,22,5.2,9.8,1,4.8
04-01-2025,IndiGo,303,CCU,BLR,2088,20,15.8,1.9,8.7,3.2
04-01-2025,IndiGo,260,DEL,BOM,2182,22,10.6,2.1,8.3,11.9
04-01-2025,GoFirst,639,BLR,CCU,200,8,0.4,1.1,7.5,31.8
04-01-2025,Vistara,491,HYD,BOM,1863,8,0.7,8.9,4.7,23.1
04-01-2025,Vistara,868,HYD,CCU,779,12,11.8,9.8,7.6,38.1
04-01-2025,SpiceJet,776,BLR,CCU,502,34,4.6,1.7,4.8,35.7
05-01-2025,IndiGo,674,BOM,BLR,1751,6,14.6,5.1,7.4,1.8
05-01-2025,GoFirst,633,BOM,BOM,804,23,10.2,12.9,8.8,-3.1
05-01-2025,GoFirst,169,HYD,CCU,2146,9,16.4,2.4,8.9,13
05-01-2025,Vistara,992,HYD,HYD,1895,36,23.8,4,4.5,18.5
05-01-2025,IndiGo,504,BLR,CCU,1570,11,13.2,6.9,8.6,18.2
05-01-2025,SpiceJet,707,BOM,HYD,960,21,19.7,12.8,1,1
05-01-2025,IndiGo,774,HYD,BOM,1485,9,18.8,4.6,1,0.6
05-01-2025,AirIndia,690,BOM,BOM,1028,12,23,15,5.5,-2.9
05-01-2025,IndiGo,616,HYD,BOM,502,7,5.4,6,6.5,33.3
05-01-2025,AirIndia,927,DEL,CCU,397,44,20.7,6.4,1.5,37.6
05-01-2025,AirIndia,219,CCU,DEL,870,6,22.6,2.7,4.7,0.2
05-01-2025,SpiceJet,913,DEL,CCU,392,39,9.8,10.5,0.9,4.6
05-01-2025,Vistara,789,HYD,CCU,206,23,7.8,4.4,6,-1
05-01-2025,IndiGo,787,CCU,BLR,1038,25,23.8,9.8,8.6,34.5
05-01-2025,AirIndia,316,CCU,BLR,1881,9,15.7,4.1,7.4,38.1
05-01-2025,IndiGo,155,HYD,CCU,1484,5,9.5,6.4,3.8,6.8
05-01-2025,Vistara,465,HYD,HYD,863,7,19.8,13,9.9,8.7
05-01-2025,Vistara,798,BOM,BLR,563,40,7.6,11.3,6.6,11.3
05-01-2025,GoFirst,603,HYD,CCU,1020,36,4.4,3.2,8.2,17.6
05-01-2025,Vistara,843,BLR,DEL,95,22,13.6,9.5,6.7,25.7
05-01-2025,SpiceJet,866,HYD,HYD,1923,8,14.2,9.8,9.9,17.7
05-01-2025,AirIndia,554,BLR,BOM,1757,6,20.6,2.3,8.2,37.8
05-01-2025,GoFirst,203,HYD,CCU,2278,35,11.4,7.5,5.2,-0.5
05-01-2025,SpiceJet,176,BOM,CCU,1678,7,20.4,4.6,3.7,30.9
06-01-2025,IndiGo,329,BLR,HYD,540,19,7.8,7.5,6.8,10.1
06-01-2025,AirIndia,357,DEL,BLR,1059,12,14.4,11.9,5.9,12
06-01-2025,Vistara,363,BLR,BLR,1183,12,5.2,3.2,6.3,26.9
06-01-2025,AirIndia,430,BOM,BLR,1722,24,9.6,2.7,3.4,36.8
06-01-2025,IndiGo,281,BLR,BOM,1819,7,21.4,4.8,4.3,27.2
06-01-2025,GoFirst,992,HYD,HYD,1597,5,5.4,14.3,5.6,29.9
06-01-2025,GoFirst,867,HYD,HYD,795,35,20.3,11.5,8.4,28.8
06-01-2025,GoFirst,649,BOM,BLR,1051,7,7.1,1.3,7.6,9.4
06-01-2025,Vistara,787,CCU,BLR,1643,21,0.9,6.6,1.2,29.1
06-01-2025,SpiceJet,126,HYD,DEL,1363,22,2.7,4.6,2.5,30.3
06-01-2025,SpiceJet,375,DEL,DEL,1981,9,18.6,9.9,0.3,19
06-01-2025,AirIndia,751,BOM,CCU,1354,8,6.6,7.4,0.1,19.2
06-01-2025,Vistara,398,BLR,CCU,1663,6,16.4,14.5,2.2,29.2
06-01-2025,GoFirst,898,BLR,HYD,1529,9,17.5,4.1,8,31.8
06-01-2025,GoFirst,190,DEL,HYD,2038,8,8.6,9.2,9,10.2
06-01-2025,IndiGo,579,HYD,BOM,1496,20,11.9,10.8,3.9,31.1
06-01-2025,IndiGo,672,BOM,BOM,2237,9,10.1,12.6,5.6,31.6
06-01-2025,GoFirst,557,DEL,DEL,1408,6,23.7,6.7,7.1,5.5
06-01-2025,GoFirst,550,HYD,CCU,1400,8,8,10.6,9.5,27.3
06-01-2025,Vistara,464,BOM,DEL,1306,6,4.6,5.2,9.1,3.4
06-01-2025,SpiceJet,958,BLR,DEL,972,7,9.1,7.1,0.6,-0.8
06-01-2025,IndiGo,774,BOM,CCU,1768,23,16.7,13.5,2.5,20.9
06-01-2025,SpiceJet,450,CCU,BOM,1282,5,17.4,14.3,0.5,35.9
06-01-2025,Vistara,754,BOM,CCU,709,8,23.1,11.1,6.2,-3.4
07-01-2025,GoFirst,499,CCU,BLR,1479,5,22,6.2,7.1,32.2
07-01-2025,SpiceJet,352,BOM,BLR,1434,9,7.2,12.5,3.1,17.8
07-01-2025,GoFirst,880,CCU,BLR,648,11,11.4,1.4,8.5,33.7
07-01-2025,GoFirst,980,BLR,HYD,317,38,18.7,2.4,4.5,33
07-01-2025,AirIndia,902,HYD,BOM,1257,6,22.9,10.3,10,34.4
07-01-2025,SpiceJet,558,CCU,BOM,683,11,8.4,5.1,0,29.6
07-01-2025,SpiceJet,798,CCU,HYD,663,7,11.1,14.3,1.1,32.9
07-01-2025,GoFirst,598,BLR,DEL,1998,10,22.5,7.1,3,2.9
07-01-2025,Vistara,607,CCU,BLR,1631,8,9,7,0.3,8.7
07-01-2025,AirIndia,403,DEL,BLR,1495,9,12,10.5,7.8,5.9
07-01-2025,GoFirst,600,BLR,DEL,1136,7,22.6,11.7,0.5,28.4
07-01-2025,IndiGo,902,DEL,CCU,1853,7,20.1,7.7,7.5,1.9
07-01-2025,IndiGo,697,BLR,CCU,1520,12,6.1,4,0.5,3.2
07-01-2025,AirIndia,265,CCU,BOM,563,3,8.1,11.8,2.5,34.6
07-01-2025,Vistara,514,DEL,HYD,1291,6,8.8,5.5,8.4,26.8
07-01-2025,GoFirst,561,CCU,BOM,1636,24,22.8,3.5,9.5,34.4
07-01-2025,SpiceJet,213,BLR,CCU,698,8,25,9.8,4.1,1.3
07-01-2025,AirIndia,532,CCU,DEL,2160,23,19.4,2.3,9.7,13
07-01-2025,Vistara,455,DEL,BOM,1,7,12.1,14.6,6.3,7.7
07-01-2025,SpiceJet,794,DEL,BLR,641,9,0.3,9.9,4.2,-4.6
07-01-2025,IndiGo,306,CCU,BLR,2267,11,17.4,14.8,8,7.8
07-01-2025,IndiGo,867,BOM,DEL,1589,23,9.7,5.7,3,12.1
07-01-2025,SpiceJet,334,BLR,CCU,854,7,15.8,14.6,2.7,-0.9
07-01-2025,AirIndia,541,BLR,BLR,1759,8,15.2,3,6.6,20.5
08-01-2025,IndiGo,454,CCU,BLR,1661,15,12,1.6,3.9,12.2
08-01-2025,GoFirst,614,BOM,HYD,1153,14,23.6,1.5,1.4,-2.9
08-01-2025,SpiceJet,307,DEL,BOM,1076,10,0.6,7.5,0.7,26.7
08-01-2025,SpiceJet,808,HYD,CCU,1707,6,17.8,2.2,7.9,27.8
08-01-2025,IndiGo,952,HYD,BOM,1695,13,10.2,8.2,6.8,32.6
08-01-2025,AirIndia,224,CCU,CCU,1733,4,17.8,5.6,4.1,16.8
08-01-2025,GoFirst,237,BOM,BLR,1439,4,16.9,5.7,9,38.6
08-01-2025,AirIndia,438,BOM,HYD,2294,7,0.3,9.9,4.1,36.1
08-01-2025,Vistara,636,BLR,BOM,835,10,7.1,3.3,7.1,19.8
08-01-2025,Vistara,167,DEL,BLR,202,13,4.7,11.7,9.1,15
08-01-2025,IndiGo,672,BOM,CCU,122,6,4.2,9.1,8.4,-4.9
08-01-2025,IndiGo,640,HYD,BOM,400,10,18.2,13.8,5.1,27
08-01-2025,IndiGo,482,DEL,BOM,766,5,6,6.1,6.8,20.4
08-01-2025,Vistara,118,DEL,BLR,293,11,11.9,14.8,4.1,37.2
08-01-2025,AirIndia,782,CCU,BOM,2327,6,6.2,9.1,6.5,21.7
08-01-2025,AirIndia,549,BOM,HYD,197,8,14.5,14.6,2.6,39.7
08-01-2025,IndiGo,173,CCU,HYD,1930,4,18,1.4,4.3,33.4
08-01-2025,GoFirst,672,BOM,BLR,2191,8,8.3,11.2,2.1,37.9
08-01-2025,AirIndia,764,BLR,CCU,608,9,15.1,12.4,0.4,9.7
08-01-2025,Vistara,375,CCU,BLR,1147,11,20.6,1.7,5.9,1.7
08-01-2025,SpiceJet,147,CCU,HYD,186,38,2.4,9.1,8.6,30.9
08-01-2025,SpiceJet,310,HYD,DEL,1794,8,17.8,12.2,0.3,30.4
08-01-2025,SpiceJet,954,CCU,DEL,659,9,8.1,8.9,2,4.5
08-01-2025,GoFirst,750,BOM,BOM,1955,13,3.1,1.9,4.6,29.4
09-01-2025,IndiGo,721,HYD,BOM,1369,10,13.6,10.7,6.7,21.2
09-01-2025,Vistara,794,CCU,DEL,1986,39,5.7,1.8,1.7,-0.1
09-01-2025,GoFirst,639,CCU,HYD,1534,23,20.5,12.4,0.6,17.6
09-01-2025,Vistara,808,BLR,BOM,146,22,1.1,1.6,5.2,36.9
09-01-2025,Vistara,290,CCU,BLR,1734,42,2.5,2.9,8.2,17.8
09-01-2025,IndiGo,414,DEL,BLR,1843,2,13,4.9,0.4,30.5
09-01-2025,SpiceJet,662,HYD,HYD,488,6,14.7,9.9,3.5,-3.7
09-01-2025,IndiGo,760,DEL,BOM,1959,21,18.2,14.7,6.6,27.8
09-01-2025,GoFirst,879,HYD,BLR,1663,6,6.5,2.6,1.3,37.6
09-01-2025,GoFirst,661,BLR,BOM,640,43,21,3,2.4,17.5
09-01-2025,GoFirst,857,CCU,BOM,1802,6,23.8,6.2,5.4,10.2
09-01-2025,IndiGo,212,CCU,BLR,1969,6,12.5,12.7,9.5,24.1
09-01-2025,Vistara,269,CCU,DEL,2198,39,19,7.5,2.9,36.2
09-01-2025,Vistara,567,HYD,BLR,1438,8,13.1,5.5,4.9,3
09-01-2025,AirIndia,777,CCU,HYD,1634,29,1.7,8.9,4,13.2
09-01-2025,GoFirst,113,DEL,CCU,262,6,8.2,4.6,9,2
09-01-2025,Vistara,814,CCU,BLR,1787,4,2.2,6.6,0.7,17.3
09-01-2025,AirIndia,387,BLR,BOM,2191,39,24.7,5.7,5.7,19.3
09-01-2025,Vistara,288,DEL,BOM,623,7,5.7,12.3,8.5,37.5
09-01-2025,GoFirst,254,CCU,BLR,1016,8,15.9,13.9,9.9,13.6
09-01-2025,SpiceJet,666,CCU,CCU,880,8,7.1,11.6,7,20.5
09-01-2025,GoFirst,793,BOM,BLR,2049,25,16.3,7.1,3.8,34.8
09-01-2025,IndiGo,821,HYD,CCU,1327,21,5.3,8.1,4.1,9.5
09-01-2025,Vistara,987,DEL,CCU,2301,4,19.6,2.8,3.5,25.3
10-01-2025,Vistara,570,BOM,HYD,452,10,2.8,11.5,6,29.1
10-01-2025,IndiGo,174,BLR,BOM,1183,25,22.4,9.4,7.4,9.9
10-01-2025,IndiGo,376,HYD,BOM,2056,20,21,13.6,8.2,2.4
10-01-2025,SpiceJet,744,DEL,CCU,1682,7,17,3.8,4.2,17.6
10-01-2025,Vistara,442,CCU,BOM,2255,8,1.7,11.6,7.2,11.1
10-01-2025,Vistara,524,DEL,DEL,1154,19,5.2,10.6,9.2,7
10-01-2025,SpiceJet,670,CCU,CCU,403,7,21.5,4.7,9.2,38.8
10-01-2025,AirIndia,610,HYD,BOM,2199,42,3,10.3,7,17.6
10-01-2025,SpiceJet,956,CCU,DEL,2101,8,3.9,13.9,6.4,33.5
10-01-2025,GoFirst,281,BLR,HYD,1696,6,13.6,13.9,5.3,3.8
10-01-2025,Vistara,557,CCU,BOM,627,5,6.9,11.1,1.8,37.3
10-01-2025,IndiGo,950,BLR,DEL,586,38,5.6,1.7,1.2,30.7
10-01-2025,GoFirst,932,HYD,BLR,1648,9,14.4,13.2,4.9,31.4
10-01-2025,Vistara,163,HYD,BLR,1443,4,9.3,10.2,1.6,12.5
10-01-2025,SpiceJet,938,DEL,DEL,1445,9,3.5,5.3,5.8,16.9
10-01-2025,GoFirst,359,BLR,CCU,103,21,13.4,3.6,6.5,21.7
10-01-2025,Vistara,292,BLR,CCU,253,11,9.7,2.6,5.3,30.5
10-01-2025,AirIndia,754,BOM,BOM,1496,9,18.4,1.7,0.4,33.2
10-01-2025,AirIndia,715,BOM,BLR,98,8,2.6,11.6,0.6,-1.5
10-01-2025,IndiGo,505,BOM,CCU,2200,8,15.5,4.3,1.1,35.7
10-01-2025,Vistara,825,CCU,CCU,1884,7,10.9,1.3,1.5,37.2
10-01-2025,AirIndia,853,BOM,BLR,1919,7,10.2,6.6,9.9,21.7
10-01-2025,SpiceJet,820,BLR,HYD,877,7,5.8,7.8,3.4,3.4
10-01-2025,Vistara,192,CCU,CCU,337,22,0.8,3.4,2.9,31.8
11-01-2025,SpiceJet,529,HYD,DEL,956,27,21.2,1.6,0.5,19.7
11-01-2025,SpiceJet,753,DEL,BOM,1704,41,8.2,3.6,6.4,31.8
11-01-2025,AirIndia,533,BOM,CCU,160,7,17,10.5,6.5,31.7
11-01-2025,Vistara,503,HYD,CCU,1603,19,23.7,2.2,1.8,-1.1
11-01-2025,GoFirst,533,BLR,HYD,397,14,14.1,8.8,9.2,22.3
11-01-2025,AirIndia,211,DEL,DEL,1300,10,9.9,3,8,16.7
11-01-2025,AirIndia,474,HYD,BOM,815,11,6.7,3.7,2.3,37.6
11-01-2025,Vistara,158,DEL,CCU,1527,5,23.4,6.5,4.9,8.3
11-01-2025,Vistara,142,BOM,BOM,1919,13,17.1,2.4,4.6,4.3
11-01-2025,SpiceJet,306,BLR,BLR,1415,8,16.6,3.4,3.5,35.4
11-01-2025,Vistara,879,DEL,CCU,1158,5,10.7,5.9,8.2,1.7
11-01-2025,SpiceJet,395,HYD,CCU,1218,7,21.1,5.6,1.1,25.9
11-01-2025,AirIndia,217,BOM,BLR,400,8,17.8,11.5,4.2,8.5
11-01-2025,IndiGo,631,BOM,HYD,639,10,7.1,2,4.3,20.6
11-01-2025,GoFirst,321,HYD,CCU,459,5,15,13,4.7,22.7
11-01-2025,AirIndia,265,HYD,BOM,954,5,10.8,12.4,8.6,13.8
11-01-2025,Vistara,742,DEL,DEL,469,4,0.2,11.7,2.2,38.9
11-01-2025,GoFirst,255,CCU,BOM,1045,5,20.2,5.3,1,0.9
11-01-2025,IndiGo,283,BOM,HYD,1693,12,3.1,12.5,6.2,12.6
11-01-2025,IndiGo,189,DEL,DEL,2085,17,12.7,3.6,1.7,14.4
11-01-2025,SpiceJet,193,HYD,BOM,2277,7,8.4,2.7,0.7,23.4
11-01-2025,GoFirst,112,DEL,BOM,562,9,8.6,1.6,4.3,13.3
11-01-2025,SpiceJet,933,HYD,BLR,1799,24,11.9,14.2,2.2,-0.6
11-01-2025,AirIndia,904,BLR,HYD,2074,7,24.9,5.3,3.6,37.6
12-01-2025,GoFirst,841,HYD,BLR,225,10,10.2,13.8,2.6,13.7
12-01-2025,AirIndia,933,HYD,DEL,797,8,4.6,4.8,0.9,10.4
12-01-2025,SpiceJet,903,HYD,BLR,2331,10,15.3,13.7,5.6,15.1
12-01-2025,GoFirst,537,CCU,HYD,959,10,5.9,13.7,0.3,4.7
12-01-2025,SpiceJet,637,HYD,CCU,1504,18,2.6,13.9,9.7,-0.5
12-01-2025,GoFirst,686,BOM,CCU,452,4,1.3,7.9,3.4,1.7
12-01-2025,SpiceJet,975,BOM,DEL,815,7,0.6,13.1,7,2.5
12-01-2025,IndiGo,910,DEL,CCU,658,7,10.8,14.3,8.1,3.9
12-01-2025,SpiceJet,249,CCU,BLR,546,23,10.7,5.5,2.8,13.9
12-01-2025,IndiGo,759,DEL,DEL,1215,19,4.6,6.9,7.5,23.1
12-01-2025,SpiceJet,107,BOM,HYD,16,9,19.6,11.1,8.3,23.3
12-01-2025,GoFirst,128,BOM,DEL,1243,13,3.2,5.2,2.4,-5
12-01-2025,GoFirst,395,BLR,DEL,2205,8,22.9,11.6,9.9,36.4
12-01-2025,GoFirst,820,HYD,BOM,1069,9,14.7,2,0.2,32
12-01-2025,Vistara,739,BOM,BOM,2146,10,0.7,8.3,2.2,38.4
12-01-2025,AirIndia,439,DEL,DEL,1768,5,24.1,2.7,7.8,11.2
12-01-2025,GoFirst,727,DEL,CCU,1060,36,7.7,5.1,1.9,24.9
12-01-2025,IndiGo,538,HYD,BOM,2327,5,11.2,4.6,7,2.6
12-01-2025,GoFirst,243,HYD,HYD,301,10,7.1,12.7,8.6,31.8
12-01-2025,Vistara,929,BLR,BLR,180,7,18.2,3.7,9.6,2.3
12-01-2025,IndiGo,846,CCU,BOM,606,9,12.1,12.3,4.7,9.7
12-01-2025,Vistara,618,DEL,DEL,699,11,3.3,12.1,9.7,17.1
12-01-2025,IndiGo,144,HYD,CCU,992,22,2.6,8,4.1,21.8
12-01-2025,SpiceJet,338,DEL,BLR,1139,8,18.1,4.3,2.2,20.2
13-01-2025,AirIndia,254,HYD,BOM,190,39,5.9,4.2,5.1,-0.4
13-01-2025,AirIndia,280,BOM,CCU,2300,9,3.4,7.5,6.5,14
13-01-2025,Vistara,314,DEL,CCU,980,5,12.5,1.1,4.6,36.5
13-01-2025,AirIndia,187,BOM,CCU,2006,10,20.1,8.4,5.7,34.3
13-01-2025,Vistara,355,DEL,DEL,1184,8,7,14.3,4.2,21.6
13-01-2025,Vistara,610,CCU,HYD,127,11,6.9,3.2,5.2,20.8
13-01-2025,Vistara,172,BLR,CCU,2065,8,20.8,9,9.5,0
13-01-2025,AirIndia,278,BOM,BLR,1816,5,3.7,14.5,5,4
13-01-2025,Vistara,311,HYD,BOM,1758,39,15.4,13,2.5,6.4
13-01-2025,AirIndia,904,CCU,BLR,569,9,23.9,12.9,7.6,17
13-01-2025,Vistara,333,DEL,DEL,1346,9,21,12.5,3.4,27.9
13-01-2025,GoFirst,564,BOM,DEL,1895,5,1.5,5.3,8.2,15.7
13-01-2025,Vistara,850,DEL,BLR,625,10,8,13.5,0.6,0.7
13-01-2025,IndiGo,322,DEL,HYD,1686,10,3.6,14.2,3.3,14.8
13-01-2025,Vistara,730,DEL,DEL,154,9,23.7,7.9,0.9,2.3
13-01-2025,SpiceJet,924,BLR,DEL,1409,8,24.6,6,0.9,28.8
13-01-2025,Vistara,363,BLR,BLR,784,8,5.9,6.8,6.6,2.5
13-01-2025,IndiGo,306,HYD,DEL,245,25,16.7,5.7,3.9,16.7
13-01-2025,IndiGo,706,BOM,HYD,1500,25,21,4,8.7,26.2
13-01-2025,AirIndia,984,CCU,HYD,1705,3,5.8,9.7,5.2,5.3
13-01-2025,GoFirst,833,CCU,HYD,537,14,4.7,8.9,3,-1.6
13-01-2025,Vistara,465,CCU,BOM,1890,26,0.3,7.5,7.2,20.3
13-01-2025,AirIndia,375,DEL,HYD,1841,8,10.3,2.3,6.2,-2.6
13-01-2025,GoFirst,479,BLR,HYD,920,8,22.5,12.2,8,21.4
14-01-2025,Vistara,842,BOM,BOM,524,23,22.6,3.4,6.4,28.9
14-01-2025,SpiceJet,408,DEL,CCU,1529,9,3.2,2.6,1.7,9.8
14-01-2025,Vistara,730,BLR,DEL,35,27,5.1,9.7,6.7,17
14-01-2025,IndiGo,367,BLR,HYD,684,13,10.2,6.6,3.9,36.8
14-01-2025,IndiGo,884,BOM,DEL,19,11,19.5,1.8,4.6,16.2
14-01-2025,SpiceJet,163,BOM,BLR,399,7,15.3,6,9.2,39.8
14-01-2025,AirIndia,909,BOM,DEL,971,22,12.8,11.8,3.6,2.1
14-01-2025,GoFirst,449,DEL,BOM,1906,5,14.8,9.6,6.1,26.9
14-01-2025,Vistara,593,HYD,DEL,1166,6,2.4,6.1,3.6,24.4
14-01-2025,IndiGo,622,BOM,DEL,1115,18,11.9,3.7,0.9,34.3
14-01-2025,AirIndia,197,HYD,DEL,833,24,24.8,9.8,4.5,-0.8
